product_id,total_orders,total_reorders,department_id
11140,11431,8319,4
21573,11381,6924,20
38768,11362,8054,4
17949,11339,8643,16
1999,11297,5287,15
14197,11279,3717,9
46616,11264,7629,19
32433,11253,5325,1
37220,11238,5853,13
47759,11238,6485,4
39947,11237,7629,7
24954,11234,8010,16
41065,11223,6353,4
21333,11179,6364,16
25824,11178,5249,19
48628,11165,7828,3
43504,11110,7378,1
1194,11110,8131,7
44628,11103,2784,13
5456,11079,6550,20
38273,11066,5795,9
15613,11053,6816,16
35535,11029,6336,4
15424,10998,8350,7
27548,10990,7027,16
24841,10978,7699,19
39190,10972,6294,16
27730,10950,7891,16
42110,10907,6187,9
29307,10893,6578,4
14161,10872,5745,4
49175,10829,5282,15
14462,10816,6256,13
31066,10774,2341,17
16696,10772,7063,7
26800,10725,5978,4
9825,10704,7421,1
5322,10701,6934,19
27744,10687,7021,16
8309,10663,7461,16
11005,10653,5346,16
11068,10652,6424,16
41588,10652,6571,20
27796,10630,4283,13
27325,10603,8098,7
2228,10584,5820,1
7969,10576,5012,4
22474,10557,5595,19
9020,10550,6186,12
16521,10531,5240,19
5769,10521,4892,15
3298,10521,7476,16
1244,10518,5886,4
13517,10512,7314,3
27323,10483,4619,16
2452,10462,6637,1
28601,10455,6044,4
2314,10434,4024,16
21927,10424,6870,12
32177,10421,4967,4
13733,10415,4630,4
12980,10405,5961,4
15261,10390,3871,4
19173,10390,6562,7
21872,10388,6228,4
20345,10386,6633,1
41658,10379,6727,3
18479,10375,4771,15
49191,10365,6559,7
20734,10360,5869,19
22849,10347,4801,4
4086,10347,4504,4
36724,10345,6580,6
17316,10329,7781,16
5373,10303,5065,15
26497,10281,4974,4
20738,10274,6937,3
44799,10260,8111,16
20574,10195,7622,20
5161,10150,7583,10
35914,10148,7995,16
22959,10130,7511,16
37524,10101,5219,16
6948,10060,8142,16
12845,10027,3639,19
4656,9989,4911,13
17758,9961,5881,16
47630,9959,5769,4
26348,9955,6876,19
25513,9938,6268,19
33055,9929,6589,4
34584,9922,5367,1
11712,9917,7420,16
21543,9893,5744,14
15649,9881,6962,4
35887,9877,5407,1
31720,9842,8279,16
18926,9813,7057,16
40198,9788,6072,16
48697,9783,3499,13
49131,9746,5377,20
39108,9733,6404,7
6740,9720,5432,4
18963,9710,3121,13
31651,9709,7939,19
23543,9564,6515,16
45104,9541,5501,16
5612,9514,6463,16
36316,9496,6613,7
40377,9490,3731,13
30406,9458,3873,4
7500,9450,2268,13
11512,9427,6257,16
44008,9417,7212,16
9755,9410,5679,19
30639,9403,7219,7
44661,9399,4938,4
36082,9382,4827,4
18656,9381,4570,4
23516,9292,3240,13
24221,9284,5562,4
40063,9279,5399,19
10305,9270,4873,4
46069,9240,5420,4
32303,9182,4776,4
13838,9175,4377,17
12576,9148,5896,7
32403,9130,7434,16
12409,9113,3072,13
45504,9108,7835,16
12872,9097,4866,9
43129,9008,2455,13
28427,8996,6405,16
2450,8992,4843,6
39581,8987,6326,16
30353,8974,5985,7
25718,8971,6310,7
11759,8957,6076,19
31215,8941,5820,16
34668,8921,6386,16
48559,8910,6448,7
47912,8910,6788,16
46842,8900,5984,3
30696,8880,5335,1
26317,8869,5771,7
29941,8869,4684,4
25640,8856,4660,4
14715,8848,5723,7
27690,8839,6462,19
6631,8825,6012,7
28553,8822,5020,1
15392,8817,3459,13
43875,8793,5685,18
2091,8775,5496,19
35163,8754,5310,4
1529,8736,3838,4
36929,8732,6057,16
32747,8731,6564,16
41400,8723,5989,19
38996,8698,4051,4
39558,8677,4726,4
13263,8662,5811,16
25753,8653,5533,1
5550,8641,6016,16
31981,8621,6816,16
24009,8598,3449,9
7628,8579,3539,4
14218,8568,6238,16
11576,8566,6528,19
45948,8564,6296,3
23236,8559,3840,1
46149,8558,6953,7
5652,8550,3570,4
14852,8548,5068,9
17652,8548,6219,1
49533,8519,3045,13
12099,8486,6075,16
31766,8483,5658,1
14129,8479,4482,15
22142,8478,3527,13
43394,8477,7282,16
20940,8438,7040,16
11440,8436,5988,1
17284,8423,4655,4
4461,8408,2176,13
14651,8400,5005,4
34217,8391,5414,1
14633,8377,5431,19
7156,8371,5417,16
28928,8370,5533,20
46886,8368,5116,16
41149,8366,4024,21
32465,8361,4989,4
24810,8357,4654,19
29926,8347,4996,19
10831,8337,6677,16
38772,8337,4701,16
6489,8329,5025,19
48395,8329,4396,9
781,8326,5605,16
42557,8324,4759,13
10912,8303,5756,16
47788,8291,4793,4
32429,8259,4706,4
2120,8246,5617,5
34466,8229,4527,1
18594,8215,4441,16
40268,8213,4947,19
311,8212,4574,1
2326,8202,5484,1
35004,8200,4309,9
7485,8179,4726,20
8138,8170,4976,20
29675,8165,4574,4
9515,8162,5201,1
10385,8158,4137,4
5240,8153,3924,9
33043,8150,4273,13
2846,8138,4169,4
3142,8138,3429,9
12276,8137,3863,1
5068,8135,4625,4
16616,8131,4937,4
38200,8121,5352,7
36772,8103,4648,9
4367,8082,4226,16
19006,8080,5156,19
29127,8076,4239,16
31433,8073,4307,14
4793,8043,6388,16
34134,8035,5180,18
12745,8030,5666,16
13292,8025,5516,7
48104,8019,3806,16
37119,8010,4530,20
44234,7988,2667,13
17224,7987,4954,19
47792,7979,5047,1
3583,7973,5158,16
46522,7969,3608,9
23405,7952,1805,13
44479,7924,4974,16
16254,7923,5434,19
8555,7920,4575,19
34530,7917,4312,12
37065,7912,3521,4
22025,7898,5439,16
16145,7890,3508,15
9808,7885,5166,16
19816,7869,5298,3
4942,7860,5638,16
38650,7836,3291,9
365,7830,4568,14
14901,7821,4358,19
39040,7812,4759,4
30305,7805,3604,4
1700,7788,4490,19
33548,7783,5371,16
14870,7771,5633,16
42460,7761,5192,3
1408,7752,4752,4
32566,7751,6173,16
20580,7746,4523,19
16262,7723,5267,3
16617,7709,5150,16
17429,7707,5462,20
45646,7696,3204,16
10504,7673,3706,4
42495,7668,4726,4
40910,7642,4410,7
23579,7642,4756,19
27243,7640,2642,13
44156,7639,5211,16
10603,7630,4944,12
7644,7625,3763,19
31869,7595,3597,1
12384,7569,6153,16
13083,7562,4904,16
48857,7561,5678,3
46226,7559,4682,19
45763,7559,5609,4
14168,7558,3518,9
2962,7558,6029,16
23622,7548,3267,4
28278,7545,3977,9
12614,7535,5443,4
24759,7528,4520,7
9337,7522,3442,16
31964,7518,5313,7
29370,7517,4951,19
3990,7508,4273,16
5460,7503,4129,16
38890,7501,4357,7
8955,7498,3150,4
21009,7494,5129,19
26128,7477,4374,1
33716,7476,4360,19
7131,7472,4878,16
8479,7464,3690,19
1090,7460,3694,9
31759,7452,4878,14
39922,7393,3785,4
17616,7381,4378,19
10621,7374,4350,4
22504,7358,2874,13
3481,7350,4082,4
46692,7340,4357,19
24535,7338,5049,16
18880,7336,3081,15
28373,7335,5115,20
17341,7333,5003,3
6532,7329,5494,16
32455,7321,4807,19
20754,7319,3734,1
23765,7314,4564,20
4724,7311,4818,4
16823,7306,2322,15
17835,7302,4473,19
25005,7299,2961,9
36389,7292,3891,4
30949,7273,5431,16
8230,7264,4293,17
30442,7259,4857,16
49610,7226,5438,16
26131,7223,5299,16
21417,7212,3657,15
16589,7192,5043,19
23233,7177,4979,3
9124,7176,4683,1
19156,7170,5124,16
36086,7167,2890,16
28123,7144,3640,1
45063,7118,3796,4
17008,7117,3700,16
33572,7114,5734,16
28535,7112,4139,13
1215,7093,4248,1
2611,7083,4605,18
38944,7082,4733,1
11352,7069,4880,19
29553,7063,3563,3
45747,7050,4247,7
8087,7049,4968,7
24082,7040,4515,1
31562,7024,3495,4
6287,7018,5137,7
7521,7011,5540,7
9741,7010,3944,1
19894,7007,5407,7
38028,7004,3793,4
41544,6999,2794,15
21614,6994,4987,19
4138,6986,3809,7
40593,6975,3018,16
31805,6961,4210,4
14467,6953,4606,3
37825,6948,3656,9
33352,6942,4469,4
12606,6938,5052,7
13819,6935,4185,19
10814,6925,4220,12
48171,6925,3552,1
17807,6922,4335,1
47029,6891,4505,16
47601,6890,3734,16
10032,6880,4741,7
13431,6877,3514,13
35383,6872,4552,3
18382,6871,2816,19
1559,6858,5023,16
42803,6842,4890,19
3020,6837,4353,18
46061,6829,5003,19
48595,6814,3728,19
45570,6812,4668,16
17630,6807,5337,16
23341,6796,4115,16
22888,6784,4016,12
23801,6773,3742,9
17902,6763,4710,16
9366,6763,3329,9
18434,6757,3705,4
18987,6742,3498,3
29594,6739,4565,16
581,6735,3539,4
19003,6722,2882,4
20632,6720,4344,4
43631,6720,4928,7
24382,6719,1912,13
15200,6704,3545,4
5449,6700,4058,1
38656,6692,3963,19
39121,6676,4427,1
17878,6673,4191,12
41319,6671,2782,1
7916,6639,4831,20
25837,6638,4591,16
39097,6607,4415,3
19488,6592,3036,17
9421,6584,4830,7
11461,6575,3181,3
8490,6575,4466,16
27360,6572,4115,12
24010,6562,4113,1
6615,6558,3608,16
34551,6550,2498,13
5337,6543,3655,16
9550,6542,4434,14
34,6536,3928,14
37011,6536,3691,4
46650,6536,4048,16
31371,6527,4407,3
41259,6518,2905,4
47866,6515,3931,19
41540,6515,3741,4
7806,6513,4244,3
21497,6511,4390,3
34234,6506,4422,16
47492,6500,3527,1
46900,6499,2670,15
6347,6486,5265,16
44514,6481,3247,4
12427,6476,4797,19
11136,6475,2859,15
33290,6471,2577,17
31338,6470,2859,13
41276,6461,4824,7
14778,6445,3993,19
46049,6438,3657,19
19478,6436,3204,9
4149,6423,3797,4
46041,6409,3198,12
42240,6394,3362,17
38274,6394,3922,1
14999,6388,4743,16
8467,6384,4347,3
22260,6380,4082,10
23296,6374,4474,16
248,6371,2550,19
33636,6370,3570,9
45013,6367,3717,15
10761,6359,4732,16
27307,6351,4398,16
28785,6344,1702,13
29615,6337,4544,3
2180,6328,2573,9
43643,6318,4768,16
41593,6315,2561,16
44471,6315,3871,18
2716,6311,4145,16
29898,6310,3292,9
16290,6301,3442,7
9327,6299,995,13
49247,6292,4119,16
24390,6287,2872,4
47890,6285,3577,4
38544,6281,4992,16
10473,6281,5016,16
35233,6274,3131,4
14897,6262,3106,4
19049,6259,3843,4
3849,6258,3911,3
44375,6257,3309,7
8239,6247,2675,13
47357,6243,3183,19
44292,6242,4387,7
13802,6240,3189,16
36127,6220,4559,7
23645,6220,3505,19
30480,6213,3062,15
18599,6204,2581,9
4006,6202,2910,13
25133,6196,4586,16
20899,6187,4758,16
20520,6183,2218,15
18564,6168,4104,7
5991,6165,2602,4
49111,6162,3904,14
45681,6155,3020,1
38444,6153,4230,5
5031,6141,3669,20
49478,6141,3422,4
45106,6135,4123,16
4137,6132,3301,14
40002,6129,2893,1
5618,6127,2380,4
4962,6125,4928,16
31663,6122,3349,14
33065,6115,3687,5
11941,6100,3551,3
18019,6081,3267,9
48726,6067,3882,16
5959,6066,3772,1
8736,6065,4375,7
14332,6046,1424,13
23044,6045,4334,16
26914,6045,3999,1
26047,6044,4652,20
13712,6027,3934,16
40348,6023,3206,3
20583,6019,3559,3
44310,6005,4287,3
25544,6002,2745,15
33846,5979,2666,20
47087,5976,4311,16
25705,5943,4063,4
47526,5942,3079,16
12312,5941,1983,11
22802,5936,4317,7
7054,5934,4108,16
22151,5934,3650,16
1695,5930,4011,7
46175,5928,2650,1
48057,5925,3346,20
13852,5902,2936,4
23554,5892,2795,1
17027,5885,4517,20
28597,5880,3869,19
32650,5878,3207,17
35336,5874,3433,7
49605,5873,3145,20
16283,5869,3737,4
35168,5868,3250,3
31927,5866,3410,9
28851,5860,3636,16
26882,5853,2466,4
45064,5845,4042,3
46088,5844,3915,5
28986,5813,2693,12
10369,5797,3459,20
43867,5795,2198,16
41757,5784,3642,12
41273,5778,3559,4
5250,5751,3388,19
47877,5746,4106,7
24850,5743,3181,7
27683,5740,3150,15
16249,5740,3437,4
19068,5735,3335,12
7952,5730,3085,12
38312,5719,4080,16
46346,5712,2655,1
3999,5711,3075,4
9623,5709,3953,7
45866,5709,4052,19
46206,5708,3149,4
32740,5701,4266,7
49215,5700,2883,18
13113,5698,3554,7
46990,5691,4081,12
34024,5687,3733,7
4796,5671,3285,4
25197,5641,3881,19
31640,5636,3549,14
11123,5635,4078,7
12254,5629,2549,4
37464,5615,3517,14
13702,5608,3772,3
9018,5590,4029,7
5491,5581,3936,18
18352,5575,3550,14
20919,5571,3029,4
26648,5569,2219,4
21162,5563,3628,18
43409,5560,3359,14
26629,5541,3151,19
44643,5537,1824,17
26172,5528,2663,16
10326,5526,3603,4
40229,5519,2756,9
32578,5518,3904,7
12545,5517,3789,16
13885,5517,2543,1
1468,5512,2912,4
39216,5509,3706,14
9598,5508,3773,15
25256,5504,2746,16
10106,5504,3300,20
2361,5502,2770,1
18670,5497,3981,16
22556,5497,3920,7
12797,5488,2228,15
2480,5488,3320,19
4945,5485,4033,4
13966,5484,3018,1
7746,5482,975,13
35199,5481,3373,7
45190,5475,3964,5
18023,5474,4083,7
20378,5468,2377,15
43014,5453,3304,4
3339,5448,2630,4
27020,5445,3518,4
31635,5444,3812,16
30561,5439,3889,3
36036,5436,3876,7
15399,5431,3614,16
44548,5417,3313,19
27509,5413,3048,1
36956,5410,2945,4
6656,5403,3931,3
40939,5403,3327,7
48094,5395,2359,15
48720,5391,3095,1
12572,5388,3252,19
19125,5381,3033,7
26856,5379,3356,3
12144,5377,2915,1
8153,5376,3138,16
32537,5362,2752,4
9595,5361,3677,1
36606,5358,3631,3
23339,5355,2807,4
22089,5354,3908,16
45840,5351,3685,7
10753,5345,4041,19
37288,5341,2584,4
45613,5321,2710,1
43967,5315,3113,7
14858,5307,2821,19
5120,5294,3998,16
13944,5287,3505,7
45965,5280,2237,14
14147,5276,2721,16
26032,5274,3286,16
10768,5271,3731,16
3265,5270,3090,4
15359,5270,1566,13
12419,5262,1451,4
10895,5261,3075,16
9390,5260,2565,1
48287,5225,2966,1
33452,5219,3136,7
26177,5216,2652,14
43192,5201,2824,19
20549,5199,1912,9
46709,5194,2395,14
29223,5188,3353,4
34197,5185,4407,16
35855,5177,1865,13
23322,5175,3387,4
8671,5171,2164,13
2748,5159,4325,16
19468,5158,1108,13
27663,5158,2923,14
25647,5158,2428,4
34429,5157,3530,4
33647,5154,2867,19
24231,5140,2045,1
39276,5140,3935,4
1360,5139,2448,13
13780,5136,1712,4
5438,5135,2577,20
39921,5134,2859,7
1117,5132,2731,12
19511,5130,3633,16
48523,5129,2376,1
35752,5124,2793,12
4781,5120,3399,16
2732,5118,3230,19
33279,5116,2564,12
30850,5116,3424,7
27801,5115,2528,16
8022,5112,3051,1
30252,5109,3743,3
19734,5099,2921,19
5114,5097,3139,18
5750,5095,3081,16
27985,5084,3638,7
39055,5075,3215,20
41690,5065,2298,4
6128,5055,2856,19
47156,5054,3070,16
19895,5051,2557,20
19820,5049,3890,16
32299,5046,1372,13
29077,5038,3167,19
19604,5037,3478,4
25272,5034,3153,4
49044,5033,3457,18
25199,5029,3364,20
33791,5029,3502,16
23644,5022,3361,16
49416,5022,3363,1
25949,5020,3587,16
39657,5019,3846,19
38374,5003,2620,1
14881,4999,2845,1
24622,4996,1983,4
17862,4994,1329,15
38185,4990,2768,19
19863,4988,2959,19
28836,4981,2988,7
42731,4978,3634,7
47402,4976,3437,4
3798,4975,3360,4
26751,4973,1956,9
12756,4970,3507,3
32665,4964,2829,3
3765,4964,3818,16
33845,4955,3544,16
4462,4953,3193,7
5451,4953,2986,4
27544,4951,1505,11
26668,4943,1809,15
7736,4938,1991,19
38557,4932,1677,4
204,4931,2338,17
34590,4931,1932,19
30290,4930,2531,17
5746,4927,2678,16
25043,4927,2700,14
5994,4925,2626,15
18090,4925,2624,4
37718,4924,3865,16
162,4919,3403,1
12481,4914,2273,19
38288,4906,2167,9
14267,4905,2518,15
148,4903,2778,4
49628,4899,3242,16
29993,4895,3083,16
36076,4892,2910,19
32360,4890,2966,9
26346,4889,3836,16
47966,4888,1814,14
23102,4887,3659,16
36107,4883,3343,7
39794,4871,2341,4
8025,4865,2362,12
49236,4861,3077,12
6182,4855,3799,7
37276,4851,3136,19
47900,4848,3341,12
24097,4847,2287,9
17789,4838,3121,16
23888,4832,2281,3
436,4831,2223,1
33894,4825,3011,19
6193,4819,2475,16
45002,4819,1190,13
21463,4813,2654,1
10312,4811,2367,7
33351,4809,2727,3
7179,4806,1594,19
37552,4799,2627,7
24186,4796,3319,7
47388,4796,3212,16
20463,4795,3736,16
10108,4794,2905,4
46572,4779,2621,3
12395,4778,3564,16
37250,4777,2424,1
45210,4776,3113,16
24235,4774,3306,3
1516,4771,2416,1
22247,4771,1724,4
34487,4770,3349,4
20512,4769,2338,14
25072,4761,2524,19
23634,4748,2975,16
4451,4748,3769,16
21513,4743,2708,14
4792,4739,2681,14
1890,4739,3372,16
32156,4735,2793,7
44116,4735,2828,7
10151,4726,2606,4
26324,4721,2976,12
24253,4718,3102,14
35510,4718,2462,4
15984,4716,3381,16
32139,4712,3213,20
25093,4712,2976,16
14536,4708,2022,15
48220,4707,3350,16
4269,4705,2692,16
22312,4701,1750,4
32211,4700,3286,3
32717,4693,2593,15
22227,4685,2618,19
20327,4682,3269,1
39430,4680,2267,6
37215,4672,2252,7
19370,4669,2753,13
17044,4665,2608,3
46817,4663,3160,16
39527,4659,3251,16
27454,4659,3250,19
35633,4657,2427,19
23291,4657,2551,19
45437,4655,3335,19
28058,4651,3389,3
27451,4651,1369,13
40852,4650,3767,16
43279,4650,3119,16
45364,4647,2279,1
35750,4645,2387,15
27925,4638,2117,4
39411,4638,2696,14
49621,4634,2982,3
45061,4627,2109,1
5621,4626,715,13
38313,4625,3215,19
45445,4618,3120,19
20113,4606,3190,1
39041,4605,2432,19
47717,4604,2817,19
40001,4596,3081,16
13874,4594,2055,13
16168,4593,2568,16
15386,4588,3040,19
41570,4587,1261,13
34565,4583,2950,14
37053,4582,2162,13
30183,4579,2512,14
43262,4578,1364,13
22298,4572,3126,16
25985,4572,2514,12
27247,4569,3566,16
25630,4568,2558,14
34128,4567,2858,20
14814,4558,2856,12
8204,4557,2023,9
15541,4554,3427,16
18176,4552,2962,18
210,4552,2719,9
43692,4547,2383,16
22922,4534,1553,13
30849,4529,2421,4
38693,4529,1983,4
43654,4528,3330,16
31618,4521,2883,16
41165,4517,2822,19
4163,4499,1978,9
48109,4496,2961,19
20794,4490,3143,7
13424,4488,2844,19
3919,4486,2745,3
37107,4486,591,13
32030,4484,2877,16
20561,4482,2879,3
49113,4481,1764,17
34335,4477,2885,7
15592,4476,2689,4
4932,4474,2207,1
11109,4472,3192,16
43908,4472,2115,1
27012,4471,2233,4
18159,4464,2268,4
34862,4460,2267,19
14211,4460,2832,18
25804,4459,3283,16
43183,4454,2541,20
43565,4453,2524,12
20876,4451,2821,19
38827,4451,2888,3
21841,4451,2675,3
13988,4447,1470,4
22559,4446,2507,1
17487,4441,3155,7
5385,4440,2897,3
8012,4431,2726,1
26915,4429,3205,16
